segment	rtt	rttvar	srtt	rto
396	215.118	72.6905	57.0525	347.814
397	215.569	72.8988	57.2449	348.84
398	204.094	73.0783	57.4231	349.736
399	204.607	73.2599	57.6035	350.643
400	196.915	73.4218	57.7742	351.461
401	197.669	73.5864	57.9474	352.293
402	197.477	73.7496	58.12	353.118
403	197.895	73.9146	58.2948	353.953
404	197.931	74.0789	58.4693	354.785
405	198.629	74.2458	58.6463	355.63
406	198.9	74.4125	58.8234	356.473
407	199.273	74.581	59.0025	357.326
408	199.097	74.7481	59.1812	358.174
409	199.754	74.9177	59.3623	359.033
410	199.829	75.0867	59.5434	359.89
411	200.267	75.2576	59.7266	360.757
412	199.789	75.4264	59.909	361.614
413	200.425	75.5977	60.0939	362.485
414	200.426	75.768	60.2785	363.351
415	200.9	75.9405	60.4655	364.227
416	200.966	76.1122	60.6523	365.101
417	201.431	76.286	60.8416	365.986
418	201.319	76.4586	61.0304	366.865
419	201.665	76.633	61.2214	367.753
420	201.166	76.805	61.4116	368.632
421	201.504	76.9789	61.604	369.52
422	201.553	77.1519	61.7963	370.404
423	202.013	77.3271	61.991	371.299
424	201.868	77.5008	62.1853	372.189
425	202.435	77.6771	62.3823	373.091
426	201.968	77.851	62.5783	373.982
427	202.333	78.0309	62.7814	374.905
428	201.671	78.2079	62.9833	375.815
429	202.147	78.3851	63.1856	376.726
430	202.195	78.5613	63.3876	377.633
431	202.66	78.7378	63.5901	378.541
432	202.802	78.9136	63.7924	379.447
433	203.259	79.0917	63.9975	380.364
434	203.41	79.2691	64.2025	381.279
435	203.871	79.4488	64.4104	382.206
436	204.024	79.6279	64.6181	383.13
437	204.475	79.8093	64.8288	384.066
438	203.489	79.9866	65.0376	384.984
439	203.796	80.1658	65.2491	385.912
440	203.91	80.3441	65.4605	386.837
441	204.34	80.5248	65.6748	387.774
442	204.5	80.7047	65.889	388.708
443	204.979	80.8872	66.1064	389.655
444	204.338	81.0664	66.3224	390.588
445	205.007	81.2487	66.5418	391.537
446	204.896	81.4294	66.7607	392.478
447	205.372	81.6127	66.9828	393.434
448	206.049	81.8017	67.2116	394.418
449	206.367	81.9903	67.4404	395.402
450	206.136	82.1769	67.6686	396.376
451	206.369	82.3628	67.8967	397.348
452	205.977	82.5461	68.1238	398.308
462	208.661	82.7368	68.3549	399.302
463	209.061	82.9275	68.5864	400.297
464	209.029	83.1167	68.8173	401.284
472	192.867	83.2514	69.0214	402.027
473	193.636	83.3874	69.2263	402.776
474	189.711	83.5095	69.4245	403.462
475	190.164	83.6319	69.6231	404.151
